exp_theta (deg),exp_cs (mb/sr),exp_error (mb/sr),fit_theta (deg),fit_cs (mb/sr),r (fm),rho_Ch (e/fm3)
,,,61.26253,0.00037,,
,,,61.46293,0.00038,,
,,,61.66333,0.00038,,
,,,61.86373,0.00038,,
,,,62.06413,0.00038,,
,,,62.26453,0.00039,,
,,,62.46493,0.00039,,
,,,62.66533,0.00039,,
,,,62.86573,0.00039,,
,,,63.06613,0.00039,,
,,,63.26653,0.00039,,
,,,63.46693,0.00039,,
,,,63.66733,0.00039,,
,,,63.86774,0.00039,,
,,,64.06814,0.00039,,
,,,64.26854,0.00038,,
,,,64.46894,0.00038,,
,,,64.66934,0.00038,,
,,,64.86974,0.00038,,
,,,65.07014,0.00037,,
,,,65.27054,0.00037,,
,,,65.47094,0.00037,,
,,,65.67134,0.00037,,
,,,65.87174,0.00036,,
,,,66.07214,0.00036,,
,,,66.27255,0.00036,,
,,,66.47295,0.00035,,
,,,66.67335,0.00035,,
,,,66.87375,0.00034,,
,,,67.07415,0.00034,,
,,,67.27455,0.00033,,
,,,67.47495,0.00033,,
,,,67.67535,0.00033,,
,,,67.87575,0.00032,,
,,,68.07615,0.00032,,
,,,68.27655,0.00031,,
,,,68.47695,0.00031,,
,,,68.67735,0.00030,,
,,,68.87776,0.00030,,
,,,69.07816,0.00029,,
,,,69.27856,0.00029,,
,,,69.47896,0.00028,,
,,,69.67936,0.00028,,
,,,69.87976,0.00027,,
,,,70.08016,0.00027,,
,,,70.28056,0.00026,,
,,,70.48096,0.00026,,
,,,70.68136,0.00025,,
,,,70.88176,0.00025,,
,,,71.08216,0.00024,,
,,,71.28257,0.00024,,
,,,71.48297,0.00023,,
,,,71.68337,0.00023,,
,,,71.88377,0.00022,,
,,,72.08417,0.00022,,
,,,72.28457,0.00021,,
,,,72.48497,0.00021,,
,,,72.68537,0.00020,,
,,,72.88577,0.00020,,
,,,73.08617,0.00019,,
,,,73.28657,0.00019,,
,,,73.48697,0.00018,,
,,,73.68737,0.00018,,
,,,73.88778,0.00017,,
,,,74.08818,0.00017,,
,,,74.28858,0.00016,,
,,,74.48898,0.00016,,
,,,74.68938,0.00016,,
,,,74.88978,0.00015,,
,,,75.09018,0.00015,,
,,,75.29058,0.00014,,
,,,75.49098,0.00014,,
,,,75.69138,0.00014,,
,,,75.89178,0.00013,,
,,,76.09218,0.00013,,
,,,76.29259,0.00012,,
,,,76.49299,0.00012,,
,,,76.69339,0.00012,,
,,,76.89379,0.00011,,
,,,77.09419,0.00011,,
,,,77.29459,0.00011,,
,,,77.49499,0.00010,,
,,,77.69539,0.00010,,
,,,77.89579,0.00010,,
,,,78.09619,0.00010,,
,,,78.29659,0.00009,,
,,,78.49699,0.00009,,
,,,78.69739,0.00009,,
,,,78.89780,0.00008,,
,,,79.09820,0.00008,,
,,,79.29860,0.00008,,
,,,79.49900,0.00008,,
,,,79.69940,0.00007,,
,,,79.89980,0.00007,,
,,,80.10020,0.00007,,
,,,80.30060,0.00007,,
,,,80.50100,0.00006,,
,,,80.70140,0.00006,,
,,,80.90180,0.00006,,
,,,81.10220,0.00006,,
,,,81.30261,0.00006,,
,,,81.50301,0.00005,,
,,,81.70341,0.00005,,
,,,81.90381,0.00005,,
,,,82.10421,0.00005,,
,,,82.30461,0.00005,,
,,,82.50501,0.00004,,
,,,82.70541,0.00004,,
,,,82.90581,0.00004,,
,,,83.10621,0.00004,,
,,,83.30661,0.00004,,
,,,83.50701,0.00004,,
,,,83.70741,0.00003,,
,,,83.90782,0.00003,,
,,,84.10822,0.00003,,
,,,84.30862,0.00003,,
,,,84.50902,0.00003,,
,,,84.70942,0.00003,,
,,,84.90982,0.00003,,
,,,85.11022,0.00003,,
,,,85.31062,0.00003,,
,,,85.51102,0.00002,,
,,,85.71142,0.00002,,
,,,85.91182,0.00002,,
,,,86.11222,0.00002,,
,,,86.31263,0.00002,,
,,,86.51303,0.00002,,
,,,86.71343,0.00002,,
,,,86.91383,0.00002,,
,,,87.11423,0.00002,,
